193758, 2220950, 652350, 2000000
3395706, 3633894, 3404471, 3632467
3896022, 3773818, 3404471, 3632467
1442554, 1608100, 652350, 2000000
803094, 813675, 571163, 397470
3491072, 3408908, 3404471, 3632467
1405010, 486446, 571163, 397470
3369963, 3641076, 3404471, 3632467
3778742, 2914974, 4229371, 3237483
1024246, 3626229, 2645627, 3363491
3937091, 2143160, 4229371, 3237483
2546325, 2012887, 2645627, 3363491
3505386, 3962087, 3404471, 3632467
819467, 239010, 571163, 397470
2650614, 595151, 3367919, -1258
3502942, 6438, 3367919, -1258
3924022, 634379, 3367919, -1258
2935977, 2838245, 2645627, 3363491
1897626, 7510, 3367919, -1258
151527, 640680, 571163, 397470
433246, 1337298, 652350, 2000000
2852855, 3976978, 3282750, 3686146
3328398, 3645875, 3282750, 3686146
3138934, 3439134, 3282750, 3686146
178, 2765639, 652350, 2000000
3386231, 3635056, 3404471, 3632467
3328074, 1273456, 3367919, -1258
268657, 162438, 571163, 397470
